date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:17	68108/68108	---M--	200	added ('OK')	image/jpeg	etag:%2210a0c-56b84bde04540%22	https://preview.colorlib.com/theme/jackson/images/img_bg_2.jpg	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/images/img_bg_2.jpg	(from https://preview.colorlib.com/theme/jackson/)
22:56:19	271962/271962	---M--	200	added ('OK')	image/jpeg	etag:%224265a-56b84bc9fd600%22	https://preview.colorlib.com/theme/jackson/images/cover_bg_1.jpg	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/images/cover_bg_1.jpg	(from https://preview.colorlib.com/theme/jackson/)
22:56:19	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20May%202023%2017:26:20%20GMT	https://preview.colorlib.com/theme/jackson/work.html	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/work.11.delayed	(from https://preview.colorlib.com/theme/jackson/)
22:56:20	64661/64661	---M--	200	added ('OK')	image/jpeg	etag:%22fc95-56b84bccd9cc0%22	https://preview.colorlib.com/theme/jackson/images/img-2.jpg	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/images/img-2.jpg	(from https://preview.colorlib.com/theme/jackson/)
22:56:20	569847/569847	---M--	200	added ('OK')	image/jpeg	etag:%228b1f7-56b84bd47aec0%22	https://preview.colorlib.com/theme/jackson/images/img-1.jpg	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/images/img-1.jpg	(from https://preview.colorlib.com/theme/jackson/)
22:56:21	31083/31083	---M--	200	added ('OK')	image/jpeg	etag:%22796b-56b84bd757580%22	https://preview.colorlib.com/theme/jackson/images/img-4.jpg	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/images/img-4.jpg	(from https://preview.colorlib.com/theme/jackson/)
22:56:22	69994/69994	---M--	200	added ('OK')	image/jpeg	etag:%221116a-56b84bda33c40%22	https://preview.colorlib.com/theme/jackson/images/img-5.jpg	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/images/img-5.jpg	(from https://preview.colorlib.com/theme/jackson/)
22:56:22	521940/521940	---M--	200	added ('OK')	image/jpeg	etag:%227f6d4-56b84bd93fa00%22	https://preview.colorlib.com/theme/jackson/images/img-3.jpg	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/images/img-3.jpg	(from https://preview.colorlib.com/theme/jackson/)
22:56:22	77363/77363	---M--	200	added ('OK')	image/jpeg	etag:%2212e33-56b84bdc1c0c0%22	https://preview.colorlib.com/theme/jackson/images/img-6.jpg	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/images/img-6.jpg	(from https://preview.colorlib.com/theme/jackson/)
22:56:23	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20May%202023%2017:26:23%20GMT	https://preview.colorlib.com/theme/jackson/blog.html	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/blog.html	(from https://preview.colorlib.com/theme/jackson/)
22:56:23	54183/54183	---M--	200	added ('OK')	image/jpeg	etag:%22d3a7-56b84bc25c400%22	https://preview.colorlib.com/theme/jackson/images/blog-1.jpg	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/images/blog-1.jpg	(from https://preview.colorlib.com/theme/jackson/)
22:56:24	115152/115152	---M--	200	added ('OK')	image/jpeg	etag:%221c1d0-56b84bc62cd00%22	https://preview.colorlib.com/theme/jackson/images/blog-2.jpg	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/images/blog-2.jpg	(from https://preview.colorlib.com/theme/jackson/)
22:56:24	137982/137982	---M--	200	added ('OK')	image/jpeg	etag:%2221afe-56b84bc62cd00%22	https://preview.colorlib.com/theme/jackson/images/blog-3.jpg	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/images/blog-3.jpg	(from https://preview.colorlib.com/theme/jackson/)
22:56:24	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226465facd-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/jackson/)
22:56:25	84380/84380	---M-Z	200	added ('OK')	application/javascript	etag:%221499c-56b84be976040-gzip%22	https://preview.colorlib.com/theme/jackson/js/jquery.min.js	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/js/jquery.min.js	(from https://preview.colorlib.com/theme/jackson/)
22:56:25	8111/8111	---M-Z	200	added ('OK')	application/javascript	etag:%221faf-56b84be78dbc0-gzip%22	https://preview.colorlib.com/theme/jackson/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/js/jquery.easing.1.3.js	(from https://preview.colorlib.com/theme/jackson/)
22:56:26	36816/36816	---M-Z	200	added ('OK')	application/javascript	etag:%228fd0-56b84be4b1500-gzip%22	https://preview.colorlib.com/theme/jackson/js/bootstrap.min.js	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/jackson/)
22:56:27	8835/8835	---M-Z	200	added ('OK')	application/javascript	etag:%222283-56b84be976040-gzip%22	https://preview.colorlib.com/theme/jackson/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/js/jquery.waypoints.min.js	(from https://preview.colorlib.com/theme/jackson/)
22:56:27	22342/22342	---M-Z	200	added ('OK')	application/javascript	etag:%225746-56b84be78dbc0-gzip%22	https://preview.colorlib.com/theme/jackson/js/jquery.flexslider-min.js	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/js/jquery.flexslider-min.js	(from https://preview.colorlib.com/theme/jackson/)
22:56:28	40401/40401	---M-Z	200	added ('OK')	application/javascript	etag:%229dd1-56b84bed46940-gzip%22	https://preview.colorlib.com/theme/jackson/js/owl.carousel.min.js	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/js/owl.carousel.min.js	(from https://preview.colorlib.com/theme/jackson/)
22:56:29	3760/3760	---M-Z	200	added ('OK')	application/javascript	etag:%22eb0-56b84be699980-gzip%22	https://preview.colorlib.com/theme/jackson/js/jquery.countTo.js	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/js/jquery.countTo.js	(from https://preview.colorlib.com/theme/jackson/)
22:56:29	6789/6789	---M-Z	200	added ('OK')	application/javascript	etag:%221a85-56b84beb5e4c0-gzip%22	https://preview.colorlib.com/theme/jackson/js/main.js	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/js/main.js	(from https://preview.colorlib.com/theme/jackson/)
22:56:31	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20May%202023%2017:26:32%20GMT	https://preview.colorlib.com/theme/jackson/css/fonts/icomoon.eot?6py85u	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/css/fonts/icomoonb44e.eot	(from https://preview.colorlib.com/theme/jackson/css/icomoon.css)
22:56:31	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20May%202023%2017:26:32%20GMT	https://preview.colorlib.com/theme/jackson/css/fonts/icomoon.ttf?6py85u	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/css/fonts/icomoonb44e.ttf	(from https://preview.colorlib.com/theme/jackson/css/icomoon.css)
22:56:32	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20May%202023%2017:26:33%20GMT	https://preview.colorlib.com/theme/jackson/css/fonts/icomoon.woff?6py85u	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/css/fonts/icomoonb44e.woff	(from https://preview.colorlib.com/theme/jackson/css/icomoon.css)
22:56:32	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20May%202023%2017:26:33%20GMT	https://preview.colorlib.com/theme/jackson/css/fonts/icomoon.svg?6py85u	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/css/fonts/icomoonb44e.svg	(from https://preview.colorlib.com/theme/jackson/css/icomoon.css)
22:56:33	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20May%202023%2017:26:34%20GMT	https://preview.colorlib.com/theme/jackson/css/owl.video.play.png	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/css/owl.video.play.png	(from https://preview.colorlib.com/theme/jackson/css/owl.carousel.min.css)
22:56:34	155564/155564	---MCZ	200	added ('OK')	font/ttf	etag:W/%2225fac-56b84cebe8200%22	https://preview.colorlib.com/theme/jackson/fonts/icomoon/icomoon.ttf?srf3rx	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/fonts/icomoon/icomoona57c.ttf	(from https://preview.colorlib.com/theme/jackson/css/style.css)
22:56:34	155728/155728	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2226050-56b84ce817900%22	https://preview.colorlib.com/theme/jackson/fonts/icomoon/icomoon.eot?srf3rx	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/fonts/icomoon/icomoona57c.eot	(from https://preview.colorlib.com/theme/jackson/css/style.css)
22:56:35	155640/155640	---M--	200	added ('OK')	font/woff	etag:%2225ff8-56b84cefb8b00%22	https://preview.colorlib.com/theme/jackson/fonts/icomoon/icomoon.woff?srf3rx	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/fonts/icomoon/icomoona57c.woff	(from https://preview.colorlib.com/theme/jackson/css/style.css)
22:56:36	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20May%202023%2017:26:37%20GMT	https://preview.colorlib.com/theme/jackson/images/loader.gif	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/images/loader.gif	(from https://preview.colorlib.com/theme/jackson/css/style.css)
22:56:36	566607/566607	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228a54f-56b84cf47d640%22	https://preview.colorlib.com/theme/jackson/fonts/icomoon/icomoon.svg?srf3rx	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/fonts/icomoon/icomoona57c.svg	(from https://preview.colorlib.com/theme/jackson/css/style.css)
